PO Number,PO Item,Latest Valid GR,Latest Valid GR Posting Date,GR Amt,Invoice Amt,Down Payment Amt,Down Payment Clearing
4500000203,10,5000000584,20230120,2156.82,2156.82,0.0,0.0
4500000204,10,5000000585,20230120,2156.82,2156.82,0.0,0.0
4500000205,10,5000001664,20230210,3929.55,3929.55,0.0,0.0
4500000206,10,5000001663,20230210,3929.55,3929.55,0.0,0.0
4500000208,10,5000000538,20230117,818.0,818.0,0.0,0.0
4500000209,10,,,0.0,0.0,0.0,0.0
4500000210,10,5000006923,20230406,1732.5,1732.5,0.0,0.0
4500000210,20,5000006923,20230406,1155.0,1155.0,0.0,0.0
4500000210,30,5000006923,20230406,2887.5,2887.5,0.0,0.0
4500000210,40,5000006923,20230406,1400.0,1517.25,0.0,0.0
4500000210,50,5000006923,20230406,11718.0,11718.0,0.0,0.0
4500000211,10,5000000642,20230125,575.0,575.0,0.0,0.0
4500000211,20,5000000642,20230125,305.36,230.0,0.0,0.0
4500000211,30,5000000642,20230125,7540.0,7540.0,0.0,0.0
4500000211,40,5000001304,20230206,5230.0,5230.0,0.0,0.0
4500000211,50,5000001304,20230206,5580.0,5580.0,0.0,0.0
4500000211,60,5000000642,20230125,3787.0,3787.0,0.0,0.0
4500000211,70,5000000642,20230125,923.6,945.36,0.0,0.0
4500000211,80,5000000642,20230125,1460.0,1460.0,0.0,0.0
4500000211,90,5000000642,20230125,1854.48,1854.48,0.0,0.0
4500000211,100,5000000642,20230125,19840.5,3968.1,0.0,0.0
4500000211,110,5000000642,20230125,450.8,450.8,0.0,0.0
4500000211,120,5000000642,20230125,39.98,39.98,0.0,0.0
4500000211,130,5000000642,20230125,230.9,236.34,0.0,0.0
4500000211,140,5000000642,20230125,130.8,159.92,0.0,0.0
4500000212,10,5000001661,20230210,14107.5,14107.5,0.0,0.0
4500000213,10,5000012095,20230602,150.8,150.8,0.0,0.0
4500000213,20,5000012095,20230602,488.5,488.5,0.0,0.0
4500000213,30,5000012095,20230602,869.6,869.6,0.0,0.0
4500000213,50,5000012095,20230602,747.0,747.0,0.0,0.0
4500000214,10,5000009176,20230501,145600.0,135200.0,0.0,0.0
4500000216,10,5000000682,20230130,552.0,552.0,0.0,0.0
